scenario,system,failure_inject_phi,partition,n_trials,stale_rate,stale_ci_lo,stale_ci_hi,availability,avail_ci_lo,avail_ci_hi,failure_rate,percentile_basis,messages_mean,mlat_p50,mlat_p99,i_occupancy,neutro_bool_disagree,status
S1,neutro-trimmed-g,0.0,transient,250,0.155978788,0.1535413082,0.15848313419999996,0.999626704,0.999493384,0.999760024,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-trimmed-g,0.1,none,250,0.13665303599999998,0.1342711888,0.1390264175,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-trimmed-g,0.1,transient,250,0.17085314399999998,0.16807068079999996,0.1736713546,0.997200072,0.9967867518,0.9976000680000001,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-trimmed-g,0.2,none,250,0.15531754,0.152929029,0.15776076519999999,0.998640064,0.9983600759000001,0.998893396,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-trimmed-g,0.2,transient,250,0.18933488399999998,0.1866667648,0.19208676730000002,0.9880400200000001,0.9872533560000001,0.9888133441,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-trimmed-g,0.3,none,250,0.174660908,0.17186900930000004,0.17746591479999999,0.993773324,0.9932129639999999,0.9943466441,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-trimmed-g,0.3,transient,250,0.20699959999999998,0.20410293620000003,0.2100502631,0.973040004,0.9718266719,0.9742266764,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-waa,0.0,none,250,0.124186672,0.1217466798,0.1266933241,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-waa,0.0,transient,250,0.155978788,0.1534133002,0.15847165,0.999626704,0.999493384,0.9997466920000002,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-waa,0.1,none,250,0.13665303599999998,0.1343082842,0.1389952595,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-waa,0.1,transient,250,0.17085314399999998,0.1680087289,0.1735786984,0.997200072,0.9967867678000001,0.997586752,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-waa,0.2,none,250,0.15531754,0.1528633335,0.1577905146,0.998640064,0.9983600800000001,0.998906716,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-waa,0.2,transient,250,0.18933488399999998,0.1865346637,0.19201347729999999,0.9880400200000001,0.9872266718,0.9888400441,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-waa,0.3,none,250,0.174660908,0.17183340760000002,0.1774022817,0.993773324,0.993199988,0.9943333402000002,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-waa,0.3,transient,250,0.20699959999999998,0.204020725,0.2100540013,0.973040004,0.9718533394,0.9741733243000001,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-waa-g,0.0,none,250,0.124186672,0.12176002740000001,0.1267070244,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,neutro-waa-g,0.0,transient,250,0.155978788,0.1533683999,0.158561824,0.999626704,0.999493384,0.9997600240000001,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,neutro-waa-g,0.1,none,250,0.13665303599999998,0.13425650570000003,0.13905886080000002,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,neutro-waa-g,0.1,transient,250,0.17085314399999998,0.16806765939999999,0.17360051680000002,0.997200072,0.996786728,0.9975871004000001,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,neutro-waa-g,0.2,none,250,0.15531754,0.15284070589999998,0.1577791474,0.998640064,0.9983734000000001,0.998906716,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,neutro-waa-g,0.2,transient,250,0.18933488399999998,0.1864477643,0.1919950135,0.9880400200000001,0.9872533638000002,0.9888133602000001,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
S1,neutro-waa-g,0.3,none,250,0.174660908,0.17192474420000003,0.1774297519,0.993773324,0.9931999920000001,0.9943199681,0.006226676,all,5.0,2.6306844000000003,6.325296000000001,0.45441866000000003,0.662826636,validated
S1,neutro-waa-g,0.3,transient,250,0.20699959999999998,0.20402222840000003,0.20995710089999997,0.973040004,0.9718666597,0.9742266764,0.026959995999999996,all,5.0,2.45053,6.1568704,0.454306656,0.6420666759999999,validated
S1,neutro-waa-g-accuracy,0.0,none,250,0.12228814800000001,0.11983146880000002,0.124700993,0.997146704,0.9967467157000001,0.997546684,0.0028532960000000004,all,5.0,2.9286016,6.629156,0.45459733599999996,0.58017332,validated
S1,neutro-waa-g-accuracy,0.0,transient,250,0.136349696,0.13388763820000002,0.1387906849,0.9646666720000001,0.9633199997999999,0.9660000082,0.035333328000000004,all,5.0,2.7507952,6.3872584,0.45585065199999997,0.5755600000000001,validated
S1,neutro-waa-g-accuracy,0.1,none,250,0.12888054,0.12658886240000003,0.13112595819999998,0.9860666640000001,0.9852266676999999,0.9868799802000001,0.013933336000000001,all,5.0,2.8517471999999997,6.5899008,0.454722676,0.6389733160000001,validated
S1,neutro-waa-g-accuracy,0.1,transient,250,0.142262408,0.1396603978,0.14494860369999998,0.9344133399999999,0.9325066639,0.9362666879999999,0.06558665999999999,success_only,5.0,2.6735392,6.3111852,0.45523466,0.62748,validated
